187,27,1271,1077,524
188,1228,242,826,1055
189,893,815,972,1090
190,1322,456,1476,126
191,251,1235,168,1183
192,1366,795,656,645
193,1269,987,1228,768
194,546,1120,1276,1467
195,904,1407,298,845
196,4,661,629,1319
197,754,1150,242,1312
198,23,455,24,1243
199,1461,329,242,395
200,1215,981,625,444
201,1076,1302,582,487
202,28,1122,1271,1077
203,563,265,260,975
204,257,140,9,1185
205,1310,987,150,1477
206,1,781,488,230
207,711,997,609,390
208,1278,22,721,291
209,279,1439,404,664
210,37,931,1477,112
211,72,594,1240,517
212,406,620,1164,338
213,159,255,369,116
214,1202,571,563,610
215,1118,1085,546,1436
216,1265,234,253,1055
217,1235,183,1183,287
218,924,1352,230,546
219,1269,1266,1077,169
220,146,1131,325,315
221,427,684,488,522
222,1307,1278,1040,858
223,1129,1019,1156,1035
224,560,335,368,1421
225,647,768,1228,1269
226,1328,1332,849,28
227,1189,984,350,633
228,412,702,305,128
229,1274,555,341,1418
230,218,108,1018,103
231,1197,22,476,588
232,772,958,145,1150
233,394,1331,1048,240
234,413,1302,1058,179
235,229,536,967,372
236,1093,639,92,1424
237,401,1278,268,803
238,1174,1166,595,1075
239,571,388,1155,463
240,640,656,645,1071
241,1019,711,576,968
242,395,1356,953,913
243,1147,347,537,178
244,949,20,1138,342
245,1183,635,443,196
246,152,721,365,1009
247,945,722,543,616
248,1021,347,757,598
249,167,259,504,678
250,1100,1302,1417,67
251,1235,1183,191,1250
252,1302,509,1016,413
253,537,357,839,446
254,331,1458,1044,1095
255,369,116,159,1045
256,996,710,292,1327
257,1422,1147,77,204
258,311,33,527,963
259,249,546,355,1309
260,27,439,975,563
261,684,537,354,659
262,1380,601,37,743
263,992,1467,459,535
264,1061,1067,225,1228
265,291,1337,203,978
266,1039,1267,152,1374
267,514,1319,242,596
268,357,682,237,368
269,398,339,981,1307
270,1233,1321,1227,17
271,587,939,1401,476
272,832,460,1318,809
273,707,515,1325,1431
274,350,15,520,1163
275,425,1103,9,859
276,1436,483,1471,605
277,1398,706,633,66
278,736,1005,739,289
279,757,1180,563,441
280,1269,1222,347,636
281,1450,1148,142,1093
282,90,712,989,1039
283,74,59,672,1454
284,42,546,537,839
285,593,361,727,1439
286,465,914,462,1361
287,1267,350,587,637
288,1255,774,732,331
289,736,203,1020,278
290,992,1019,1087,1032
291,1417,1284,82,1278
292,1454,607,1296,1475
293,835,404,324,396
294,566,27,970,953
295,819,546,1408,1232
296,1003,815,634,374
297,1214,1035,135,1326
298,316,1430,1352,1359
299,1342,444,1175,1149
300,1292,1416,381,232
301,357,1076,994,201
302,27,1271,524,1195
303,251,696,850,932
304,175,359,348,532
305,563,123,1121,394
306,1303,1032,450,142
307,1134,135,821,697
308,350,264,1019,1280
309,1077,1162,1336,992
310,689,575,1276,1364
311,258,542,1107,541
